state,city,region_id,region_name,school_count,program_count,avg_student_size,avg_in_state_tuition,avg_out_of_state_tuition,avg_cost_of_attendance,avg_net_price
FL,Pompano Beach,5,Southeast,3,7,79.55,,,,20876.11
FL,Port Charlotte,5,Southeast,1,20,295.0,3100.0,12100.0,15126.0,10076.0
FL,Port Saint Lucie,5,Southeast,1,5,472.0,14087.0,14087.0,31606.0,25465.0
FL,Quincy,5,Southeast,1,8,58.0,,,,3866.0
FL,Royal Palm Beach,5,Southeast,2,13,235.28,18238.0,18238.0,28722.0,20494.0
FL,Saint Augustine,5,Southeast,2,53,1801.04,26610.0,26610.0,41734.0,23902.7
FL,Saint Leo,5,Southeast,1,50,6999.0,28360.0,28360.0,41727.0,18467.0
FL,Saint Petersburg,5,Southeast,4,86,1725.47,48553.96,48553.96,65229.64,26980.26
FL,Sanford,5,Southeast,1,53,11790.0,3227.0,11447.0,9152.0,3119.0
FL,Sarasota,5,Southeast,6,47,922.94,29330.15,41729.85,46113.85,22703.72
FL,Sebring,5,Southeast,1,1,24.0,,,,12575.0
FL,South Daytona,5,Southeast,1,2,191.0,,,,19071.0
FL,Spring Hill,5,Southeast,1,6,226.0,14895.0,14895.0,30619.0,26290.0
FL,St. Petersburg,5,Southeast,2,54,18158.32,2682.0,9286.0,10634.0,808.68
FL,Starke,5,Southeast,1,15,65.0,,,,4736.0
